CCSR Category,CCSR Category Description,Clinical Domain,ICD-10-PCS Root Operations,ICD-10-PCS Body Parts,ICD-10-PCS Devices,ICD-10-PCS Approaches
MST004,Incision and drainage of musculoskeletal tissue and joints,"Musculoskeletal, Subcutaneous Tissue, and Fascia Procedures","Drainage, Removal, Change","""Knee Joint, Right"", ""Knee Joint, Left"", ""Foot, Right"", ""Foot, Left"", ""Hip Muscle, Right"", ""Hip Muscle, Left"", ""Inguinal Region, Right"", ""Hand Tendon, Right"", ""Inguinal Region, Left"", ""Hip Joint, Right"", ""Hand Tendon, Left"", ""Hip Joint, Left"", ""Axilla, Right"", ""Axilla, Left"", ""Hand, Right"", ""Buttock, Right"", ""Buttock, Left"", ""Upper Leg, Left"", ""Hand, Left"", ""Lower Leg, Left"", Lower Back, ""Upper Leg, Right"", ""Lower Leg, Right"", ""Upper Leg Muscle, Right"", ""Shoulder Joint, Right"", ""Ankle Joint, Right"", ""Upper Leg Muscle, Left"", ""Elbow Joint, Left"", ""Shoulder Joint, Left"", ""Ankle Joint, Left"", ""Finger Phalangeal Joint, Right"", ""Elbow Joint, Right"", ""Neck Muscle, Left"", Upper Back, ""Lower Extremity, Right"", ""Trunk Muscle, Left"", ""Lower Arm, Left"", ""Trunk Muscle, Right"", ""Neck Muscle, Right"", ""Lower Extremity, Left"", ""Lower Leg Muscle, Left"", ""Elbow Bursa and Ligament, Left"", ""Lower Arm, Right"", ""Knee Bursa and Ligament, Right"", ""Finger Phalangeal Joint, Left"", ""Knee Bursa and Ligament, Left"", ""Wrist Joint, Right"", ""Knee Region, Left"", ""Wrist Joint, Left"", ""Elbow Bursa and Ligament, Right"", ""Lower Leg Muscle, Right"", ""Knee Region, Right"", ""Foot Muscle, Right"", ""Femoral Region, Right"", ""Upper Arm, Right"", ""Upper Arm Muscle, Left"", ""Ankle Region, Right"", ""Femoral Region, Left"", ""Ankle Region, Left"", ""Metacarpophalangeal Joint, Right"", ""Metatarsal-Phalangeal Joint, Left"", ""Abdomen Muscle, Left"", ""Upper Arm Muscle, Right"", ""Upper Arm, Left"", ""Metatarsal-Phalangeal Joint, Right"", ""Metatarsal, Left"", Lumbar Vertebra, Lumbar Vertebral Joint, ""Foot Muscle, Left"", ""Metatarsal, Right"", ""Abdomen Muscle, Right"", ""Foot Tendon, Right"", ""Upper Extremity, Left"", ""Lower Arm and Wrist Muscle, Right"", ""Metacarpophalangeal Joint, Left"", ""Foot Tendon, Left"", ""Lower Arm and Wrist Muscle, Left"", Lower Muscle, ""Shoulder Region, Right"", Facial Muscle, ""Upper Extremity, Right"", ""Elbow Region, Right"", ""Elbow Region, Left"", ""Tibia, Left"", ""Wrist Region, Right"", ""Wrist Region, Left"", ""Hand Muscle, Right"", ""Tibia, Right"", Sternum, ""Shoulder Region, Left"", ""Hand Muscle, Left"", ""Shoulder Muscle, Right"", ""Mandible, Left"", ""Tarsal, Left"", ""Thorax Muscle, Left"", Cervical Vertebral Joint, ""Thorax Muscle, Right"", ""Lower Arm and Wrist Tendon, Right"", ""Hand Bursa and Ligament, Left"", ""Tarsal, Right"", ""Orbit, Left"", ""Toe Phalanx, Right"", ""Lower Arm and Wrist Tendon, Left"", ""Hand Bursa and Ligament, Right"", ""Toe Phalanx, Left"", ""Mandible, Right"", Perineum Muscle, Skull, ""Shoulder Muscle, Left"", Head Muscle, ""Ankle Tendon, Right"", ""Foot Bursa and Ligament, Left"", ""Lower Leg Tendon, Right"", ""Sternoclavicular Joint, Left"", ""Orbit, Right"", ""Ankle Tendon, Left"", Sacrum, ""Toe Phalangeal Joint, Right"", Thoracic Vertebral Joint, ""Hip Bursa and Ligament, Right"", ""Foot Bursa and Ligament, Right"", Thoracic Vertebra, ""Finger Phalanx, Left"", ""Upper Femur, Left"", ""Tarsal Joint, Right"", ""Fibula, Right"", ""Lower Femur, Left"", ""Toe Phalangeal Joint, Left"", Lumbosacral Joint, ""Hip Bursa and Ligament, Left"", ""Sternoclavicular Joint, Right"", ""Pelvic Bone, Left"", ""Lower Leg Tendon, Left"", Cervical Vertebra, ""Fibula, Left"", ""Finger Phalanx, Right"", Maxilla, ""Tarsal Joint, Left"", ""Carpometacarpal Joint, Right"", ""Acromioclavicular Joint, Right"", ""Carpal Joint, Right"", ""Pelvic Bone, Right"", ""Wrist Bursa and Ligament, Right"", ""Humeral Shaft, Left"", ""Shoulder Bursa and Ligament, Right"", ""Lower Femur, Right"", ""Upper Femur, Right"", ""Carpal Joint, Left"", Lumbar Vertebral Disc, ""Patella, Right"", ""Lower Extremity Bursa and Ligament, Right"", ""Thumb Phalanx, Right"", ""Patella, Left"", ""Tarsometatarsal Joint, Right"", ""Humeral Head, Left"", ""Carpometacarpal Joint, Left"", ""Acromioclavicular Joint, Left"", ""Metacarpal, Right"", Frontal Bone, ""Femoral Shaft, Left"", ""Upper Extremity Bursa and Ligament, Right"", ""Shoulder Bursa and Ligament, Left"", ""Tarsometatarsal Joint, Left"", ""Hip Tendon, Right"", ""Humeral Head, Right"", Cervicothoracic Vertebral Joint, ""Humeral Shaft, Right"", ""Temporal Bone, Right"", ""Wrist Bursa and Ligament, Left"", ""Radius, Right"", Thoracolumbar Vertebral Joint, ""Ulna, Left"", ""Ankle Bursa and Ligament, Left"", Upper Muscle, ""Clavicle, Right"", ""Thumb Phalanx, Left"", Lower Bone, ""Sacroiliac Joint, Right"", ""Upper Leg Tendon, Right"", ""Upper Arm Tendon, Left"", ""Carpal, Right"", ""Temporal Bone, Left"", ""Shoulder Tendon, Right"", Coccyx, ""Ankle Bursa and Ligament, Right"", ""Temporomandibular Joint, Left"", ""Clavicle, Left"", ""Upper Extremity Bursa and Ligament, Left"", ""Metacarpal, Left"", Thoracic Vertebral Disc, ""Knee Tendon, Left"", Upper Bone, ""Sacroiliac Joint, Left"", ""Abdomen Bursa and Ligament, Left"", ""Radius, Left"", ""Upper Leg Tendon, Left"", ""Ulna, Right"", ""Parietal Bone, Right"", ""Femoral Shaft, Right"", ""Upper Arm Tendon, Right"", Cervicothoracic Vertebral Disc, Head and Neck Tendon, Sphenoid Bone, Lumbosacral Disc, Cervical Vertebral Disc, Facial Bone, ""Abdomen Tendon, Right"", ""Acetabulum, Right"", Perineum Tendon, ""Ethmoid Bone, Right"", ""Carpal, Left"", ""Glenoid Cavity, Right"", Lower Joint, ""Scapula, Right"", ""Shoulder Tendon, Left"", ""Hip Tendon, Left"", ""Abdomen Bursa and Ligament, Right"", ""Lower Extremity Bursa and Ligament, Left"", Occipital Bone, ""Acetabulum, Left"", Upper Bursa and Ligament, Lower Bursa and Ligament","No Device, Drainage Device","Open, Percutaneous, Percutaneous Endoscopic, External"
MST005,Incision and drainage of subcutaneous tissue and fascia,"Musculoskeletal, Subcutaneous Tissue, and Fascia Procedures","Drainage, Removal, Change, Revision","""Subcutaneous Tissue and Fascia, Face"", ""Subcutaneous Tissue and Fascia, Abdomen"", ""Subcutaneous Tissue and Fascia, Right Foot"", ""Subcutaneous Tissue and Fascia, Buttock"", ""Subcutaneous Tissue and Fascia, Left Foot"", ""Subcutaneous Tissue and Fascia, Back"", ""Subcutaneous Tissue and Fascia, Pelvic Region"", ""Subcutaneous Tissue and Fascia, Right Upper Leg"", ""Subcutaneous Tissue and Fascia, Right Hand"", ""Subcutaneous Tissue and Fascia, Left Upper Leg"", ""Subcutaneous Tissue and Fascia, Left Lower Leg"", ""Subcutaneous Tissue and Fascia, Right Lower Leg"", ""Subcutaneous Tissue and Fascia, Left Neck"", ""Subcutaneous Tissue and Fascia, Left Hand"", ""Subcutaneous Tissue and Fascia, Perineum"", ""Subcutaneous Tissue and Fascia, Right Neck"", ""Subcutaneous Tissue and Fascia, Left Lower Arm"", ""Subcutaneous Tissue and Fascia, Right Lower Arm"", ""Subcutaneous Tissue and Fascia, Left Upper Arm"", ""Subcutaneous Tissue and Fascia, Chest"", ""Subcutaneous Tissue and Fascia, Right Upper Arm"", ""Subcutaneous Tissue and Fascia, Scalp"", ""Subcutaneous Tissue and Fascia, Trunk"", ""Subcutaneous Tissue and Fascia, Lower Extremity"", ""Subcutaneous Tissue and Fascia, Head and Neck"", ""Subcutaneous Tissue and Fascia, Upper Extremity""","No Device, Drainage Device","Open, Percutaneous, External"
MST006,Knee arthroplasty,"Musculoskeletal, Subcutaneous Tissue, and Fascia Procedures","Replacement, Removal, Supplement, Insertion, Revision, Monitoring","""Knee Joint, Right"", ""Knee Joint, Left"", ""Knee Joint, Tibial Surface, Right"", ""Knee Joint, Tibial Surface, Left"", ""Knee Joint, Femoral Surface, Right"", ""Knee Joint, Femoral Surface, Left""","Synthetic Substitute, Liner, ""Synthetic Substitute, Oxidized Zirconium on Polyethylene"", Spacer, Articulating Spacer, ""Synthetic Substitute, Unicondylar Medial"", ""Synthetic Substitute, Patellofemoral"", Intraoperative Knee Replacement Sensor, ""Synthetic Substitute, Unicondylar Lateral"", Nonautologous Tissue Substitute, Autologous Tissue Substitute","Open, External, Percutaneous Endoscopic, Percutaneous"
MST007,Hip arthroplasty,"Musculoskeletal, Subcutaneous Tissue, and Fascia Procedures","Replacement, Removal, Supplement, Revision, Insertion","""Hip Joint, Right"", ""Hip Joint, Left"", ""Hip Joint, Femoral Surface, Left"", ""Hip Joint, Femoral Surface, Right"", ""Hip Joint, Acetabular Surface, Right"", ""Hip Joint, Acetabular Surface, Left""","Synthetic Substitute, ""Synthetic Substitute, Ceramic on Polyethylene"", ""Synthetic Substitute, Ceramic"", ""Synthetic Substitute, Metal"", ""Synthetic Substitute, Metal on Polyethylene"", Liner, ""Synthetic Substitute, Oxidized Zirconium on Polyethylene"", Articulating Spacer, Spacer, ""Synthetic Substitute, Polyethylene"", Resurfacing Device, Nonautologous Tissue Substitute, Autologous Tissue Substitute","Open, External, Percutaneous Endoscopic, Percutaneous"
MST008,Arthroplasty of other joint (excluding knee and hip),"Musculoskeletal, Subcutaneous Tissue, and Fascia Procedures","Replacement, Removal, Insertion, Supplement, Revision","""Shoulder Joint, Right"", ""Shoulder Joint, Left"", ""Ankle Joint, Right"", ""Ankle Joint, Left"", Cervical Vertebral Disc, Lumbar Vertebral Joint, ""Elbow Joint, Left"", ""Elbow Joint, Right"", Lumbosacral Disc, Lumbar Vertebral Disc, ""Temporomandibular Joint, Right"", Cervical Vertebral Joint, ""Temporomandibular Joint, Left"", Lumbosacral Joint, Thoracic Vertebral Joint, ""Metatarsal-Phalangeal Joint, Right"", ""Metatarsal-Phalangeal Joint, Left"", ""Toe Phalangeal Joint, Right"", Thoracolumbar Vertebral Joint, ""Tarsal Joint, Left"", ""Wrist Joint, Right"", ""Toe Phalangeal Joint, Left"", ""Tarsal Joint, Right"", ""Wrist Joint, Left"", Cervicothoracic Vertebral Disc, ""Finger Phalangeal Joint, Right"", ""Sacroiliac Joint, Right"", ""Acromioclavicular Joint, Left"", ""Metacarpophalangeal Joint, Right"", Cervicothoracic Vertebral Joint, ""Sacroiliac Joint, Left"", Thoracic Vertebral Disc, ""Tarsometatarsal Joint, Right"", ""Tarsometatarsal Joint, Left"", ""Finger Phalangeal Joint, Left"", ""Sternoclavicular Joint, Right"", ""Metacarpophalangeal Joint, Left"", ""Carpometacarpal Joint, Left"", ""Carpometacarpal Joint, Right"", Thoracolumbar Vertebral Disc, ""Carpal Joint, Left"", ""Sternoclavicular Joint, Left"", ""Carpal Joint, Right"", ""Acromioclavicular Joint, Right"", Sacrococcygeal Joint, Occipital-cervical Joint","""Synthetic Substitute, Reverse Ball and Socket"", Synthetic Substitute, Spacer, Autologous Tissue Substitute, Nonautologous Tissue Substitute","Open, External, Percutaneous Endoscopic, Percutaneous"
MST009,Fixation of upper extremity bones,"Musculoskeletal, Subcutaneous Tissue, and Fascia Procedures","Reposition, Removal, Insertion, Revision","""Radius, Left"", ""Radius, Right"", ""Humeral Shaft, Left"", ""Humeral Shaft, Right"", ""Ulna, Left"", ""Ulna, Right"", ""Humeral Head, Right"", ""Humeral Head, Left"", ""Finger Phalanx, Left"", ""Metacarpal, Left"", ""Clavicle, Left"", ""Finger Phalanx, Right"", ""Metacarpal, Right"", ""Clavicle, Right"", ""Carpal, Left"", ""Carpal, Right"", ""Thumb Phalanx, Left"", ""Thumb Phalanx, Right"", ""Scapula, Right"", ""Scapula, Left"", ""Glenoid Cavity, Left"", ""Glenoid Cavity, Right""","Internal Fixation Device, ""Internal Fixation Device, Intramedullary"", External Fixation Device, No Device, ""External Fixation Device, Monoplanar"", ""External Fixation Device, Ring"", ""External Fixation Device, Hybrid""","Open, Percutaneous, External, Percutaneous Endoscopic"
MST010,Femur fixation,"Musculoskeletal, Subcutaneous Tissue, and Fascia Procedures","Reposition, Insertion, Removal, Revision","""Upper Femur, Left"", ""Upper Femur, Right"", ""Lower Femur, Right"", ""Femoral Shaft, Right"", ""Lower Femur, Left"", ""Femoral Shaft, Left""","""Internal Fixation Device, Intramedullary"", Internal Fixation Device, External Fixation Device, No Device, ""External Fixation Device, Monoplanar"", ""External Fixation Device, Ring"", ""External Fixation Device, Hybrid""","Open, Percutaneous, External, Percutaneous Endoscopic"
MST011,Fixation of leg and foot bones,"Musculoskeletal, Subcutaneous Tissue, and Fascia Procedures","Reposition, Removal, Insertion, Revision","""Tibia, Right"", ""Tibia, Left"", ""Fibula, Right"", ""Fibula, Left"", ""Tarsal, Right"", ""Tarsal, Left"", ""Patella, Left"", ""Patella, Right"", ""Metatarsal, Left"", ""Metatarsal, Right"", ""Toe Phalanx, Right"", ""Toe Phalanx, Left""","Internal Fixation Device, External Fixation Device, ""Internal Fixation Device, Intramedullary"", No Device, ""External Fixation Device, Monoplanar"", ""External Fixation Device, Ring"", ""External Fixation Device, Hybrid""","Open, Percutaneous, External, Percutaneous Endoscopic"
MST012,Bone fixation (excluding extremities),"Musculoskeletal, Subcutaneous Tissue, and Fascia Procedures","Reposition, Insertion, Removal, Revision","Lumbar Vertebra, Thoracic Vertebra, ""Pelvic Bone, Left"", ""Pelvic Bone, Right"", ""Mandible, Left"", ""Mandible, Right"", Cervical Vertebra, Sacrum, Maxilla, Skull, ""Acetabulum, Right"", Sternum, ""Acetabulum, Left"", ""Ribs, 3 or More"", ""Orbit, Left"", ""Orbit, Right"", ""Zygomatic Bone, Right"", ""Zygomatic Bone, Left"", Frontal Bone, Nasal Bone, Facial Bone, ""Ribs, 1 to 2"", ""Temporal Bone, Right"", ""Temporal Bone, Left"", ""Parietal Bone, Left"", ""Parietal Bone, Right"", Occipital Bone, ""Ethmoid Bone, Left"", ""Palatine Bone, Right"", ""Palatine Bone, Left"", ""Ethmoid Bone, Right"", Hyoid Bone, Sphenoid Bone, Coccyx","Internal Fixation Device, No Device, External Fixation Device, ""Internal Fixation Device, Rigid Plate"", Magnetically Controlled Growth Rod(s)","Open, Percutaneous, Percutaneous Endoscopic, External"
MST013,Spine fusion,"Musculoskeletal, Subcutaneous Tissue, and Fascia Procedures","Fusion, Removal, Insertion, Reposition, Revision","Lumbar Vertebral Joint, Lumbosacral Joint, ""Lumbar Vertebral Joints, 2 or more"", ""Cervical Vertebral Joints, 2 or more"", Cervical Vertebral Joint, Thoracolumbar Vertebral Joint, ""Thoracic Vertebral Joints, 2 to 7"", Cervicothoracic Vertebral Joint, Thoracic Vertebral Joint, ""Thoracic Vertebral Joints, 8 or more"", Occipital-cervical Joint","Autologous Tissue Substitute, Interbody Fusion Device, Nonautologous Tissue Substitute, Internal Fixation Device, Synthetic Substitute, ""Interbody Fusion Device, Nanotextured Surface"", ""Interbody Fusion Device, Radiolucent Porous"", ""Spinal Stabilization Device, Interspinous Process"", ""Spinal Stabilization Device, Pedicle-Based"", No Device, ""Spinal Stabilization Device, Facet Replacement""","Open, Percutaneous, Percutaneous Endoscopic, External"
MST014,Joint fusion (excluding spine),"Musculoskeletal, Subcutaneous Tissue, and Fascia Procedures","Fusion, Reposition, Removal, Insertion, Revision","""Ankle Joint, Right"", ""Ankle Joint, Left"", ""Sacroiliac Joint, Right"", ""Sacroiliac Joint, Left"", ""Tarsal Joint, Right"", ""Hip Joint, Right"", ""Hip Joint, Left"", ""Tarsal Joint, Left"", ""Knee Joint, Right"", ""Knee Joint, Left"", ""Tarsometatarsal Joint, Right"", ""Tarsometatarsal Joint, Left"", ""Shoulder Joint, Right"", ""Shoulder Joint, Left"", ""Elbow Joint, Left"", ""Metatarsal-Phalangeal Joint, Left"", ""Metatarsal-Phalangeal Joint, Right"", ""Wrist Joint, Left"", ""Wrist Joint, Right"", ""Elbow Joint, Right"", ""Finger Phalangeal Joint, Left"", ""Finger Phalangeal Joint, Right"", ""Toe Phalangeal Joint, Left"", ""Metacarpophalangeal Joint, Left"", ""Toe Phalangeal Joint, Right"", ""Metacarpophalangeal Joint, Right"", ""Carpometacarpal Joint, Right"", ""Temporomandibular Joint, Left"", ""Temporomandibular Joint, Right"", ""Carpometacarpal Joint, Left"", Sacrococcygeal Joint, ""Acromioclavicular Joint, Left"", ""Carpal Joint, Left"", ""Acromioclavicular Joint, Right"", ""Carpal Joint, Right"", ""Sternoclavicular Joint, Left"", ""Sternoclavicular Joint, Right"", Coccygeal Joint","Internal Fixation Device, Autologous Tissue Substitute, External Fixation Device, No Device, Nonautologous Tissue Substitute, Synthetic Substitute, ""Internal Fixation Device, Sustained Compression""","Open, Percutaneous, External, Percutaneous Endoscopic"
MST015,Closed reduction of bones and joints,"Musculoskeletal, Subcutaneous Tissue, and Fascia Procedures",Reposition,"""Tibia, Right"", ""Tibia, Left"", ""Radius, Left"", ""Fibula, Right"", ""Radius, Right"", ""Fibula, Left"", Nasal Bone, ""Hip Joint, Right"", ""Shoulder Joint, Right"", ""Ulna, Left"", ""Shoulder Joint, Left"", ""Hip Joint, Left"", ""Upper Femur, Right"", ""Ulna, Right"", ""Upper Femur, Left"", ""Ankle Joint, Right"", ""Ankle Joint, Left"", ""Humeral Head, Right"", ""Humeral Shaft, Left"", ""Humeral Shaft, Right"", ""Femoral Shaft, Left"", ""Femoral Shaft, Right"", ""Humeral Head, Left"", ""Tarsal, Right"", ""Mandible, Left"", ""Elbow Joint, Left"", ""Knee Joint, Left"", ""Acetabulum, Right"", Cervical Vertebra, ""Acetabulum, Left"", ""Lower Femur, Right"", ""Mandible, Right"", ""Tarsal, Left"", ""Knee Joint, Right"", ""Elbow Joint, Right"", ""Metatarsal, Left"", ""Metacarpal, Left"", ""Finger Phalanx, Left"", ""Lower Femur, Left"", ""Finger Phalangeal Joint, Left"", ""Metacarpal, Right"", ""Metatarsal, Right"", ""Pelvic Bone, Left"", ""Pelvic Bone, Right"", ""Finger Phalanx, Right"", ""Finger Phalangeal Joint, Right"", ""Temporomandibular Joint, Left"", ""Wrist Joint, Left"", ""Toe Phalanx, Right"", ""Temporomandibular Joint, Right"", ""Wrist Joint, Right"", Maxilla, ""Toe Phalanx, Left"", ""Patella, Right"", ""Patella, Left"", ""Clavicle, Left"", ""Scapula, Left"", ""Metatarsal-Phalangeal Joint, Left"", ""Scapula, Right"", Sacrum, ""Metacarpophalangeal Joint, Right"", ""Carpal, Right"", ""Metatarsal-Phalangeal Joint, Right"", ""Clavicle, Right"", ""Carpal, Left"", Thoracic Vertebra, ""Metacarpophalangeal Joint, Left"", Cervical Vertebral Joint, Lumbar Vertebra, ""Thumb Phalanx, Right"", ""Thumb Phalanx, Left"", ""Tarsal Joint, Right"", ""Toe Phalangeal Joint, Right"", ""Tarsometatarsal Joint, Right"", ""Carpometacarpal Joint, Left"", ""Glenoid Cavity, Left"", ""Toe Phalangeal Joint, Left"", ""Orbit, Right"", ""Carpometacarpal Joint, Right"", ""Zygomatic Bone, Left"", ""Tarsal Joint, Left"", ""Tarsometatarsal Joint, Left"", ""Glenoid Cavity, Right"", ""Sacroiliac Joint, Left"", ""Zygomatic Bone, Right"", ""Orbit, Left"", ""Sternoclavicular Joint, Left"", ""Carpal Joint, Left"", Sternum, ""Sacroiliac Joint, Right"", ""Sternoclavicular Joint, Right"", ""Ethmoid Bone, Left"", Skull, ""Palatine Bone, Left"", ""Acromioclavicular Joint, Right"", Occipital Bone, Cervicothoracic Vertebral Joint, ""Acromioclavicular Joint, Left"", ""Ethmoid Bone, Right"", ""Carpal Joint, Right"", Frontal Bone, ""Ribs, 1 to 2"", Lumbar Vertebral Joint, ""Ribs, 3 or More"", ""Palatine Bone, Right"", Sacrococcygeal Joint, Thoracic Vertebral Joint, Occipital-cervical Joint, Sphenoid Bone, Hyoid Bone",No Device,External
MST016,Vertebral discectomy,"Musculoskeletal, Subcutaneous Tissue, and Fascia Procedures","Excision, Resection, Destruction","Lumbar Vertebral Disc, Cervical Vertebral Disc, Lumbosacral Disc, Thoracic Vertebral Disc, Cervicothoracic Vertebral Disc, Thoracolumbar Vertebral Disc",No Device,"Open, Percutaneous, Percutaneous Endoscopic"
